[ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array(['14:26:38 22-02-2018', '14:26:38 22-02-2018'], 
      dtype='<U19'),
       '14:26:40 22-02-2018'], dtype=object),
       '14:26:43 22-02-2018'], dtype=object),
       '14:26:45 22-02-2018'], dtype=object),
       '14:26:47 22-02-2018'], dtype=object),
       '14:26:50 22-02-2018'], dtype=object),
       '14:26:52 22-02-2018'], dtype=object),
       '14:26:54 22-02-2018'], dtype=object),
       '14:26:57 22-02-2018'], dtype=object),
       '14:26:59 22-02-2018'], dtype=object),
       '14:27:01 22-02-2018'], dtype=object),
       '14:27:04 22-02-2018'], dtype=object),
       '14:27:06 22-02-2018'], dtype=object),
       '14:27:08 22-02-2018'], dtype=object),
       '14:27:11 22-02-2018'], dtype=object),
       '14:27:13 22-02-2018'], dtype=object),
       '14:27:15 22-02-2018'], dtype=object),
       '14:27:18 22-02-2018'], dtype=object),
       '14:27:20 22-02-2018'], dtype=object),
       '14:27:22 22-02-2018'], dtype=object),
       '14:27:25 22-02-2018'], dtype=object),
       '14:27:27 22-02-2018'], dtype=object),
       '14:27:29 22-02-2018'], dtype=object),
       '14:27:32 22-02-2018'], dtype=object),
       '14:27:34 22-02-2018'], dtype=object),
       '14:27:36 22-02-2018'], dtype=object),
       '14:27:39 22-02-2018'], dtype=object),
       '14:27:41 22-02-2018'], dtype=object),
       '14:27:43 22-02-2018'], dtype=object),
       '14:27:46 22-02-2018'], dtype=object),
       '14:27:48 22-02-2018'], dtype=object),
       '14:27:50 22-02-2018'], dtype=object),
       '14:27:53 22-02-2018'], dtype=object),
       '14:27:55 22-02-2018'], dtype=object),
       '14:27:57 22-02-2018'], dtype=object),
       '14:28:00 22-02-2018'], dtype=object),
       '14:28:02 22-02-2018'], dtype=object)
 '14:28:04 22-02-2018']
14:28:07 22-02-2018
