[ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array(['14:30:08 22-02-2018', '14:30:08 22-02-2018'], 
      dtype='<U19'),
       '14:30:11 22-02-2018'], dtype=object),
       '14:30:13 22-02-2018'], dtype=object),
       '14:30:15 22-02-2018'], dtype=object),
       '14:30:18 22-02-2018'], dtype=object),
       '14:30:20 22-02-2018'], dtype=object),
       '14:30:22 22-02-2018'], dtype=object),
       '14:30:25 22-02-2018'], dtype=object),
       '14:30:27 22-02-2018'], dtype=object),
       '14:30:29 22-02-2018'], dtype=object),
       '14:30:32 22-02-2018'], dtype=object),
       '14:30:34 22-02-2018'], dtype=object),
       '14:30:36 22-02-2018'], dtype=object),
       '14:30:39 22-02-2018'], dtype=object),
       '14:30:41 22-02-2018'], dtype=object),
       '14:30:43 22-02-2018'], dtype=object),
       '14:30:46 22-02-2018'], dtype=object),
       '14:30:48 22-02-2018'], dtype=object),
       '14:30:50 22-02-2018'], dtype=object),
       '14:30:53 22-02-2018'], dtype=object),
       '14:30:55 22-02-2018'], dtype=object),
       '14:30:57 22-02-2018'], dtype=object),
       '14:31:00 22-02-2018'], dtype=object),
       '14:31:02 22-02-2018'], dtype=object),
       '14:31:04 22-02-2018'], dtype=object),
       '14:31:07 22-02-2018'], dtype=object),
       '14:31:09 22-02-2018'], dtype=object),
       '14:31:11 22-02-2018'], dtype=object),
       '14:31:14 22-02-2018'], dtype=object),
       '14:31:16 22-02-2018'], dtype=object),
       '14:31:18 22-02-2018'], dtype=object),
       '14:31:21 22-02-2018'], dtype=object),
       '14:31:23 22-02-2018'], dtype=object),
       '14:31:25 22-02-2018'], dtype=object),
       '14:31:28 22-02-2018'], dtype=object),
       '14:31:30 22-02-2018'], dtype=object),
       '14:31:32 22-02-2018'], dtype=object)
 '14:31:35 22-02-2018']
14:31:37 22-02-2018
