[ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array(['14:39:18 22-02-2018', '14:39:19 22-02-2018'], 
      dtype='<U19'),
       '14:39:21 22-02-2018'], dtype=object),
       '14:39:23 22-02-2018'], dtype=object),
       '14:39:26 22-02-2018'], dtype=object),
       '14:39:28 22-02-2018'], dtype=object),
       '14:39:30 22-02-2018'], dtype=object),
       '14:39:33 22-02-2018'], dtype=object),
       '14:39:35 22-02-2018'], dtype=object),
       '14:39:37 22-02-2018'], dtype=object),
       '14:39:40 22-02-2018'], dtype=object),
       '14:39:42 22-02-2018'], dtype=object),
       '14:39:44 22-02-2018'], dtype=object),
       '14:39:47 22-02-2018'], dtype=object),
       '14:39:49 22-02-2018'], dtype=object),
       '14:39:51 22-02-2018'], dtype=object),
       '14:39:54 22-02-2018'], dtype=object),
       '14:39:56 22-02-2018'], dtype=object),
       '14:39:58 22-02-2018'], dtype=object),
       '14:40:01 22-02-2018'], dtype=object),
       '14:40:03 22-02-2018'], dtype=object),
       '14:40:05 22-02-2018'], dtype=object),
       '14:40:08 22-02-2018'], dtype=object),
       '14:40:10 22-02-2018'], dtype=object),
       '14:40:12 22-02-2018'], dtype=object),
       '14:40:15 22-02-2018'], dtype=object),
       '14:40:17 22-02-2018'], dtype=object),
       '14:40:19 22-02-2018'], dtype=object),
       '14:40:22 22-02-2018'], dtype=object),
       '14:40:24 22-02-2018'], dtype=object),
       '14:40:26 22-02-2018'], dtype=object),
       '14:40:29 22-02-2018'], dtype=object),
       '14:40:31 22-02-2018'], dtype=object),
       '14:40:33 22-02-2018'], dtype=object),
       '14:40:36 22-02-2018'], dtype=object),
       '14:40:38 22-02-2018'], dtype=object),
       '14:40:40 22-02-2018'], dtype=object),
       '14:40:43 22-02-2018'], dtype=object)
 '14:40:45 22-02-2018']
14:40:47 22-02-2018
