[ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array(['14:54:00 22-02-2018', '14:54:01 22-02-2018'], 
      dtype='<U19'),
       '14:54:03 22-02-2018'], dtype=object),
       '14:54:06 22-02-2018'], dtype=object),
       '14:54:08 22-02-2018'], dtype=object),
       '14:54:10 22-02-2018'], dtype=object),
       '14:54:13 22-02-2018'], dtype=object),
       '14:54:15 22-02-2018'], dtype=object),
       '14:54:17 22-02-2018'], dtype=object),
       '14:54:20 22-02-2018'], dtype=object),
       '14:54:22 22-02-2018'], dtype=object),
       '14:54:24 22-02-2018'], dtype=object),
       '14:54:27 22-02-2018'], dtype=object),
       '14:54:29 22-02-2018'], dtype=object),
       '14:54:31 22-02-2018'], dtype=object),
       '14:54:34 22-02-2018'], dtype=object),
       '14:54:36 22-02-2018'], dtype=object),
       '14:54:38 22-02-2018'], dtype=object),
       '14:54:41 22-02-2018'], dtype=object),
       '14:54:43 22-02-2018'], dtype=object),
       '14:54:45 22-02-2018'], dtype=object),
       '14:54:48 22-02-2018'], dtype=object),
       '14:54:50 22-02-2018'], dtype=object),
       '14:54:52 22-02-2018'], dtype=object),
       '14:54:55 22-02-2018'], dtype=object),
       '14:54:57 22-02-2018'], dtype=object),
       '14:54:59 22-02-2018'], dtype=object),
       '14:55:02 22-02-2018'], dtype=object),
       '14:55:04 22-02-2018'], dtype=object),
       '14:55:06 22-02-2018'], dtype=object),
       '14:55:09 22-02-2018'], dtype=object),
       '14:55:11 22-02-2018'], dtype=object),
       '14:55:13 22-02-2018'], dtype=object),
       '14:55:16 22-02-2018'], dtype=object),
       '14:55:18 22-02-2018'], dtype=object),
       '14:55:20 22-02-2018'], dtype=object),
       '14:55:23 22-02-2018'], dtype=object),
       '14:55:25 22-02-2018'], dtype=object)
 '14:55:27 22-02-2018']
14:55:30 22-02-2018
