[ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array(['14:23:05 22-02-2018', '14:23:05 22-02-2018'], 
      dtype='<U19'),
       '14:23:08 22-02-2018'], dtype=object),
       '14:23:10 22-02-2018'], dtype=object),
       '14:23:12 22-02-2018'], dtype=object),
       '14:23:15 22-02-2018'], dtype=object),
       '14:23:17 22-02-2018'], dtype=object),
       '14:23:19 22-02-2018'], dtype=object),
       '14:23:22 22-02-2018'], dtype=object),
       '14:23:24 22-02-2018'], dtype=object),
       '14:23:26 22-02-2018'], dtype=object),
       '14:23:29 22-02-2018'], dtype=object),
       '14:23:31 22-02-2018'], dtype=object),
       '14:23:33 22-02-2018'], dtype=object),
       '14:23:36 22-02-2018'], dtype=object),
       '14:23:38 22-02-2018'], dtype=object),
       '14:23:40 22-02-2018'], dtype=object),
       '14:23:43 22-02-2018'], dtype=object),
       '14:23:45 22-02-2018'], dtype=object),
       '14:23:47 22-02-2018'], dtype=object),
       '14:23:50 22-02-2018'], dtype=object),
       '14:23:52 22-02-2018'], dtype=object),
       '14:23:54 22-02-2018'], dtype=object),
       '14:23:57 22-02-2018'], dtype=object),
       '14:23:59 22-02-2018'], dtype=object),
       '14:24:01 22-02-2018'], dtype=object),
       '14:24:04 22-02-2018'], dtype=object),
       '14:24:06 22-02-2018'], dtype=object),
       '14:24:08 22-02-2018'], dtype=object),
       '14:24:11 22-02-2018'], dtype=object),
       '14:24:13 22-02-2018'], dtype=object),
       '14:24:15 22-02-2018'], dtype=object),
       '14:24:18 22-02-2018'], dtype=object),
       '14:24:20 22-02-2018'], dtype=object),
       '14:24:22 22-02-2018'], dtype=object),
       '14:24:25 22-02-2018'], dtype=object),
       '14:24:27 22-02-2018'], dtype=object),
       '14:24:29 22-02-2018'], dtype=object)
 '14:24:32 22-02-2018']
14:24:34 22-02-2018
