[ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array(['14:44:30 22-02-2018', '14:44:30 22-02-2018'], 
      dtype='<U19'),
       '14:44:33 22-02-2018'], dtype=object),
       '14:44:35 22-02-2018'], dtype=object),
       '14:44:37 22-02-2018'], dtype=object),
       '14:44:40 22-02-2018'], dtype=object),
       '14:44:42 22-02-2018'], dtype=object),
       '14:44:44 22-02-2018'], dtype=object),
       '14:44:47 22-02-2018'], dtype=object),
       '14:44:49 22-02-2018'], dtype=object),
       '14:44:51 22-02-2018'], dtype=object),
       '14:44:54 22-02-2018'], dtype=object),
       '14:44:56 22-02-2018'], dtype=object),
       '14:44:58 22-02-2018'], dtype=object),
       '14:45:01 22-02-2018'], dtype=object),
       '14:45:03 22-02-2018'], dtype=object),
       '14:45:05 22-02-2018'], dtype=object),
       '14:45:08 22-02-2018'], dtype=object),
       '14:45:10 22-02-2018'], dtype=object),
       '14:45:12 22-02-2018'], dtype=object),
       '14:45:15 22-02-2018'], dtype=object),
       '14:45:17 22-02-2018'], dtype=object),
       '14:45:19 22-02-2018'], dtype=object),
       '14:45:22 22-02-2018'], dtype=object),
       '14:45:24 22-02-2018'], dtype=object),
       '14:45:26 22-02-2018'], dtype=object),
       '14:45:29 22-02-2018'], dtype=object),
       '14:45:31 22-02-2018'], dtype=object),
       '14:45:33 22-02-2018'], dtype=object),
       '14:45:36 22-02-2018'], dtype=object),
       '14:45:38 22-02-2018'], dtype=object),
       '14:45:40 22-02-2018'], dtype=object),
       '14:45:43 22-02-2018'], dtype=object),
       '14:45:45 22-02-2018'], dtype=object),
       '14:45:47 22-02-2018'], dtype=object),
       '14:45:50 22-02-2018'], dtype=object),
       '14:45:52 22-02-2018'], dtype=object),
       '14:45:54 22-02-2018'], dtype=object)
 '14:45:57 22-02-2018']
14:45:59 22-02-2018
