[ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array([ array(['15:03:23 22-02-2018', '15:03:23 22-02-2018'], 
      dtype='<U19'),
       '15:03:26 22-02-2018'], dtype=object),
       '15:03:28 22-02-2018'], dtype=object),
       '15:03:30 22-02-2018'], dtype=object),
       '15:03:33 22-02-2018'], dtype=object),
       '15:03:35 22-02-2018'], dtype=object),
       '15:03:37 22-02-2018'], dtype=object),
       '15:03:40 22-02-2018'], dtype=object),
       '15:03:42 22-02-2018'], dtype=object),
       '15:03:44 22-02-2018'], dtype=object),
       '15:03:47 22-02-2018'], dtype=object),
       '15:03:49 22-02-2018'], dtype=object),
       '15:03:51 22-02-2018'], dtype=object),
       '15:03:54 22-02-2018'], dtype=object),
       '15:03:56 22-02-2018'], dtype=object),
       '15:03:58 22-02-2018'], dtype=object),
       '15:04:01 22-02-2018'], dtype=object),
       '15:04:03 22-02-2018'], dtype=object),
       '15:04:05 22-02-2018'], dtype=object),
       '15:04:08 22-02-2018'], dtype=object),
       '15:04:10 22-02-2018'], dtype=object),
       '15:04:12 22-02-2018'], dtype=object),
       '15:04:15 22-02-2018'], dtype=object),
       '15:04:17 22-02-2018'], dtype=object),
       '15:04:19 22-02-2018'], dtype=object),
       '15:04:22 22-02-2018'], dtype=object),
       '15:04:24 22-02-2018'], dtype=object),
       '15:04:26 22-02-2018'], dtype=object),
       '15:04:29 22-02-2018'], dtype=object),
       '15:04:31 22-02-2018'], dtype=object),
       '15:04:33 22-02-2018'], dtype=object),
       '15:04:36 22-02-2018'], dtype=object),
       '15:04:38 22-02-2018'], dtype=object),
       '15:04:40 22-02-2018'], dtype=object),
       '15:04:43 22-02-2018'], dtype=object),
       '15:04:45 22-02-2018'], dtype=object),
       '15:04:47 22-02-2018'], dtype=object)
 '15:04:50 22-02-2018']
15:04:52 22-02-2018
